,Unnamed: 0,VendorID,passenger_count,trip_distance,RatecodeID,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee
4804,4804,2,3.0,17.76,2.0,230,132,1,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
5231,5231,2,1.0,16.82,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
5399,5399,2,4.0,17.66,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
5465,5465,2,3.0,16.78,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
5510,5510,2,4.0,17.75,2.0,230,132,1,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
5838,5838,1,0.0,17.1,2.0,230,132,1,70.0,3.25,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
5974,5974,1,1.0,16.8,2.0,230,132,1,70.0,3.25,0.5,5.0,6.94,1.0,86.69,2.5,0.0,0.75
5990,5990,2,1.0,18.62,1.0,230,132,1,69.5,1.0,0.5,16.44,6.94,1.0,98.63,2.5,0.0,0.75
6109,6109,2,2.0,16.07,2.0,230,132,1,70.0,0.0,0.5,0.0,10.0,1.0,84.75,2.5,0.0,0.75
6606,6606,1,1.0,16.4,5.0,230,132,1,87.0,0.75,0.0,7.0,0.0,1.0,95.75,0.0,0.0,0.75
6622,6622,2,5.0,22.09,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
6696,6696,1,2.0,19.0,2.0,230,132,1,70.0,3.25,0.5,22.4,0.0,1.0,97.15,2.5,0.0,0.75
6748,6748,2,2.0,17.1,2.0,230,132,1,70.0,0.0,0.5,20.42,6.94,1.0,102.11,2.5,0.0,0.75
7313,7313,1,1.0,16.8,2.0,230,132,1,70.0,3.25,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
7532,7532,2,3.0,17.65,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
7549,7549,1,1.0,17.2,2.0,230,132,1,70.0,3.25,0.5,24.5,6.94,1.0,106.19,2.5,0.0,0.75
7731,7731,2,2.0,18.1,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
7741,7741,1,1.0,17.1,2.0,230,132,2,70.0,3.25,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
7754,7754,2,2.0,17.55,2.0,230,132,1,70.0,0.0,0.5,10.0,6.94,1.0,91.69,2.5,0.0,0.75
7958,7958,1,1.0,17.4,5.0,230,132,1,85.0,0.75,0.0,7.0,6.94,1.0,100.69,0.0,0.0,0.75
8045,8045,2,2.0,17.07,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
8450,8450,2,3.0,18.16,2.0,230,132,1,70.0,0.0,0.5,10.0,6.94,1.0,91.69,2.5,0.0,0.75
8578,8578,2,2.0,17.27,2.0,230,132,1,70.0,0.0,0.5,20.23,6.94,1.0,101.17,2.5,0.0,0.0
8795,8795,2,1.0,17.24,2.0,230,132,1,70.0,0.0,0.5,10.0,6.94,1.0,91.69,2.5,0.0,0.75
9089,9089,2,1.0,16.76,2.0,230,132,1,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
9501,9501,2,2.0,16.65,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
9561,9561,2,2.0,17.9,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
9885,9885,2,1.0,17.25,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
9948,9948,2,1.0,17.74,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
10514,10514,2,2.0,17.2,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
10520,10520,2,2.0,17.12,2.0,230,132,1,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
10550,10550,1,1.0,17.4,5.0,230,132,1,87.0,0.75,0.0,17.75,0.0,1.0,106.5,0.0,0.0,0.75
10749,10749,1,1.0,17.8,2.0,230,132,1,70.0,3.25,0.5,2.0,6.94,1.0,83.69,2.5,0.0,0.75
11042,11042,2,2.0,16.82,2.0,230,132,1,70.0,0.0,0.5,9.0,6.94,1.0,90.69,2.5,0.0,0.75
11384,11384,2,2.0,18.95,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
11498,11498,2,2.0,16.22,5.0,230,132,1,100.0,0.0,0.0,22.24,6.94,1.0,133.43,2.5,0.0,0.75
11698,11698,1,1.0,16.9,2.0,230,132,1,70.0,3.25,0.5,16.3,6.94,1.0,97.99,2.5,0.0,0.75
12091,12091,2,2.0,18.16,2.0,230,132,1,70.0,0.0,0.5,20.0,6.94,1.0,101.69,2.5,0.0,0.75
12413,12413,1,1.0,16.8,2.0,230,132,1,70.0,3.25,0.5,0.0,0.0,1.0,74.75,2.5,0.0,0.75
13819,13819,2,4.0,17.01,5.0,230,132,1,88.0,0.0,0.0,8.0,0.0,1.0,100.25,2.5,0.0,0.75
13828,13828,2,1.0,21.21,2.0,230,132,1,70.0,0.0,0.5,10.0,0.0,1.0,84.75,2.5,0.0,0.75
13879,13879,2,2.0,15.62,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
15415,15415,2,1.0,17.38,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
15996,15996,2,4.0,17.41,2.0,230,132,1,70.0,0.0,0.5,10.0,6.94,1.0,91.69,2.5,0.0,0.75
16105,16105,2,1.0,17.36,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
17158,17158,1,2.0,16.9,5.0,230,132,2,90.0,0.75,0.0,0.0,0.0,1.0,91.75,0.0,0.0,0.75
17305,17305,2,1.0,17.31,2.0,230,132,1,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
17630,17630,2,1.0,16.0,5.0,230,132,1,85.0,0.0,0.0,19.24,6.94,1.0,115.43,2.5,0.0,0.75
17796,17796,2,1.0,17.71,2.0,230,132,1,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
17804,17804,2,2.0,19.93,2.0,230,132,1,70.0,0.0,0.5,5.0,6.94,1.0,86.69,2.5,0.0,0.75
18584,18584,1,1.0,16.2,2.0,230,132,2,70.0,3.25,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
19011,19011,2,4.0,17.15,2.0,230,132,1,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
19332,19332,2,2.0,16.62,2.0,230,132,2,-70.0,0.0,-0.5,0.0,-6.94,-1.0,-81.69,-2.5,0.0,-0.75
19333,19333,2,2.0,16.62,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
19582,19582,1,1.0,16.8,5.0,230,132,1,87.0,0.75,0.0,0.0,0.0,1.0,88.75,0.0,0.0,0.75
19858,19858,1,0.0,16.7,2.0,230,132,1,70.0,3.25,0.5,20.0,6.94,1.0,101.69,2.5,0.0,0.75
19890,19890,2,2.0,17.55,2.0,230,132,1,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
19897,19897,2,2.0,17.79,2.0,230,132,1,70.0,0.0,0.5,10.0,6.94,1.0,91.69,2.5,0.0,0.75
20346,20346,2,2.0,18.85,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
20424,20424,2,3.0,16.58,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
20520,20520,2,1.0,17.4,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
20776,20776,2,2.0,16.32,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
21201,21201,2,2.0,14.3,5.0,230,132,1,97.0,0.0,0.0,20.25,0.0,1.0,121.5,2.5,0.0,0.75
